                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Thu Apr 24 06:18:02 2014, 00:1e:c0:81:3a:fa,  29.7 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.903 V,   0.640 A,  11.903 V,  16.872 W
 Thu Apr 24 06:18:12 2014, 00:1e:c0:81:3a:fa,  29.7 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.903 V,   0.640 A,  11.880 V,  16.857 W
 Thu Apr 24 06:18:22 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.767 A,  11.880 V,   0.640 A,  11.903 V,  16.735 W
 Thu Apr 24 06:18:32 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.880 V,   0.640 A,  11.903 V,  16.913 W
 Thu Apr 24 06:18:42 2014, 00:1e:c0:81:3a:fa,  29.9 C,   0.964 V,     1,       0,       1,     1  0.785 A,  11.903 V,   0.640 A,  11.880 V,  16.947 W
 Thu Apr 24 06:18:52 2014, 00:1e:c0:81:3a:fa,  30.0 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.903 V,   0.640 A,  11.903 V,  16.991 W
 Thu Apr 24 06:19:02 2014, 00:1e:c0:81:3a:fa,  30.2 C,   0.964 V,     1,       0,       1,     1  0.775 A,  11.903 V,   0.642 A,  11.903 V,  16.872 W
 Thu Apr 24 06:19:12 2014, 00:1e:c0:81:3a:fa,  29.9 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.880 V,   0.640 A,  11.903 V,  16.973 W
 Thu Apr 24 06:19:22 2014, 00:1e:c0:81:3a:fa,  30.1 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.880 V,   0.640 A,  11.880 V,  17.018 W
 Thu Apr 24 06:19:32 2014, 00:1e:c0:81:3a:fa,  29.9 C,   0.964 V,     1,       0,       1,     1  0.775 A,  11.880 V,   0.640 A,  11.880 V,  16.810 W
 Thu Apr 24 06:19:42 2014, 00:1e:c0:81:3a:fa,  29.7 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.903 V,   0.637 A,  11.880 V,  16.976 W
 Thu Apr 24 06:19:52 2014, 00:1e:c0:81:3a:fa,  29.9 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.903 V,   0.640 A,  11.880 V,  16.857 W
 Thu Apr 24 06:20:02 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.772 A,  11.903 V,   0.640 A,  11.903 V,  16.812 W
 Thu Apr 24 06:20:12 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.785 A,  11.903 V,   0.642 A,  11.880 V,  16.976 W
 Thu Apr 24 06:20:22 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.880 V,   0.640 A,  11.903 V,  16.913 W
